target_time,submercado,horizon,pred_gross,pld_brl_mwh,temperature,radiation,weekday,feriado_nacional,carnaval,corpus_christi,emenda,vespera_feriado,pos_feriado,frac_pop_feriado_estadual
2026-09-01 00:00:00-03:00,N,1,10083.048434713255,174.35,28.205405405405408,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 00:00:00-03:00,N,7,9980.34677295979,174.35,28.093693693693695,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 00:00:00-03:00,NE,1,14861.337380592671,174.34,25.609082125603862,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 00:00:00-03:00,NE,7,14340.736241187187,174.34,24.960676328502416,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 00:00:00-03:00,S,1,12388.656514934057,174.34,17.748076923076923,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 00:00:00-03:00,S,7,12405.04892822973,174.34,16.850274725274726,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 00:00:00-03:00,SECO,1,45129.0838935803,174.35,23.44069810620126,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 00:00:00-03:00,SECO,7,44155.91802154314,174.35,25.32064611956925,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 01:00:00-03:00,N,1,9841.601220145398,172.22,27.86594594594595,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 01:00:00-03:00,N,7,9693.928347476816,172.22,27.70684684684685,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 01:00:00-03:00,NE,1,14383.499204344544,172.21,25.299420289855075,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 01:00:00-03:00,NE,7,13956.031697163637,172.21,24.71304347826087,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 01:00:00-03:00,S,1,11753.376466121494,172.2,17.46978021978022,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 01:00:00-03:00,S,7,11686.303978932943,172.2,16.777197802197804,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 01:00:00-03:00,SECO,1,43091.65366031492,172.21,23.338284441143703,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 01:00:00-03:00,SECO,7,41685.34837448467,172.21,24.75291496472336,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 02:00:00-03:00,N,1,9655.807141986868,170.18,27.59405405405405,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 02:00:00-03:00,N,7,9427.148943336382,170.18,27.453873873873874,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 02:00:00-03:00,NE,1,14082.543779276431,170.17,25.058260869565217,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 02:00:00-03:00,NE,7,13638.711030892784,170.17,24.585603864734303,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 02:00:00-03:00,S,1,11313.591551380116,170.16,17.337362637362638,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 02:00:00-03:00,S,7,11286.192449210945,170.16,16.704120879120882,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 02:00:00-03:00,SECO,1,41902.12856746895,170.17,23.0219086520609,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 02:00:00-03:00,SECO,7,40548.415482658165,170.17,24.307835128109915,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 03:00:00-03:00,N,1,9319.75810063085,168.81,27.050270270270275,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 03:00:00-03:00,N,7,9138.671057482505,168.81,27.31837837837838,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 03:00:00-03:00,NE,1,13724.358912649051,168.8,24.88792270531401,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 03:00:00-03:00,NE,7,13411.41425153019,168.8,24.65768115942029,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 03:00:00-03:00,S,1,11213.60771210105,168.79,17.200824175824177,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 03:00:00-03:00,S,7,11145.697948011484,168.79,16.68241758241758,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 03:00:00-03:00,SECO,1,41319.685414405656,168.8,23.02577051615299,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 03:00:00-03:00,SECO,7,39803.93634286733,168.8,23.949758633494245,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 04:00:00-03:00,N,1,9060.020871731867,169.94,26.70468468468469,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 04:00:00-03:00,N,7,8888.510552841657,169.94,27.38288288288288,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 04:00:00-03:00,NE,1,13632.577681287068,169.93,24.752077294685996,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 04:00:00-03:00,NE,7,13450.91812793535,169.93,24.997584541062803,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 04:00:00-03:00,S,1,11291.35833359956,169.93,16.937362637362636,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 04:00:00-03:00,S,7,11265.909463783206,169.93,16.626923076923077,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 04:00:00-03:00,SECO,1,41299.39717820539,169.94,21.726104715930187,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 04:00:00-03:00,SECO,7,40210.8883038494,169.94,23.698700334199778,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 05:00:00-03:00,N,1,8846.840121468365,172.33,26.362522522522525,0.0,1,0,0,0,0,0,0,0.0
2026-09-01 05:00:00-03:00,N,7,8710.491053197962,172.33,27.583603603603606,0.0,1,0,0,0,0,0,0,0.0
